Id,Locality,Type,SubType,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Is_Furnished,Is_Open_Fire,Terrace,Terrace_Area,Garden,Garden_Area,Land_Surface,Surface of the plot,State,Facades,Swim_pool,Sale_Type
20227779,Hoboken,House,house,475000,4,175.0,True,False,False,True,22.0,True,121.0,318,246,Good,2,False,Private
11420693,Wavre,House,house,515000,3,216.0,True,False,True,True,67.0,True,1100.0,1383,1550,To be done up,4,False,Private
11414121,Bierges,House,house,515000,3,216.0,True,False,True,True,67.0,True,1100.0,1383,1550,To be done up,4,True,Private
20120719,Wavre,Apartment,apartment-block,625000,4,173.0,True,False,False,True,30.0,True,200.0,403,299,Good,3,True,Private
20156947,Wavre,Apartment,apartment-block,700000,4,203.0,True,False,False,True,5.0,True,110.0,318,290,Good,3,True,Private
20142914,Knokke,House,villa,1395000,4,276.0,True,False,False,True,323.0,True,323.0,922,606,Good,4,False,Private
20303786,Gracehollogne,House,house,109000,3,0.0,True,False,False,True,7.0,True,65.0,72,158,Good,2,True,Private
20305466,Sinttruiden,House,house,175000,3,137.0,True,False,False,False,0.0,True,55.0,192,151,To renovate,0,False,Private
20305166,Haasrode,House,house,275000,2,200.0,False,False,False,False,0.0,False,0.0,200,249,To renovate,0,False,Private
20305204,Veltembeisem,House,house,315000,5,205.0,False,False,False,True,38.0,True,600.0,843,710,Not Known,0,False,Private
20306609,Liege,House,house,349000,4,206.0,True,False,False,False,0.0,False,0.0,206,0,To be done up,2,False,Private
20305436,Gent,House,house,379000,4,144.0,False,False,False,False,0.0,True,40.0,184,116,As new,2,False,Private
20307847,Saintpierrelibramontchevigny,House,house,385000,4,214.0,False,False,False,False,0.0,False,0.0,214,1382,Not Known,4,False,Private
